long,lat,boron,nitrogen,phos,potas,pH,zinc,clay,OM,Sand,Silt,Rainfall,Temp,Elevation,Slope,nearest_rainfall,Water,Road,LULC_Code
83.96305,28.59916,0.6705686,0.2995985,151.0960693,460.1256104,6.4249845,3.0044446,14.2684975,4.4564567,51.6199951,35.4483109,1547.650024,-10.0879002,6531,53.751339,180.5288696,1190.180908,9702.994141,9
83.97024,28.59916,0.6716567,0.3015878,150.1431885,462.0273438,6.4218359,2.9829137,14.2556973,4.4591126,51.6179657,35.3914948,1495.170044,-13.5559998,6884,49.2290955,177.0961761,1870.284302,10093.02734,2
83.81919,28.59197,0.6210703,0.2704671,163.8202515,412.9709167,6.5033293,3.90165,14.4255686,4.4093361,51.4104385,36.782711,2102.320068,-16.0298996,7448,60.5570183,206.4436646,4206.207031,8391.263672,3
83.82638,28.59197,0.6232318,0.271175,163.3330078,414.8616028,6.497704,3.8435962,14.3983898,4.411273,51.4128113,36.7321625,2100.870117,-15.3782997,7453,55.6378593,160.7332306,3550.243897,7963.347168,3
83.83357,28.59197,0.6254022,0.2719494,162.8339081,416.8251038,6.492075,3.786356,14.3738937,4.4132237,51.4197693,36.6783485,2098.070068,-8.9051104,6967,63.2197418,139.1222992,2905.403076,7620.767578,3
83.84077,28.59197,0.6275676,0.2727919,162.3228912,418.8566895,6.4864478,3.7300315,14.3518572,4.4151931,51.430233,36.621769,2094.389893,-5.4728599,6293,61.5512962,139.6106567,2281.136231,7287.530273,3
83.84796,28.59197,0.6297186,0.2737054,161.8017883,420.9575195,6.4808345,3.6746488,14.3321524,4.4172254,51.4435349,36.562767,2088.370117,-4.9478898,5820,40.5195122,134.2042694,1700.258545,7051.020996,2
83.85515,28.59197,0.631866,0.2747066,161.2724152,423.1353149,6.4752655,3.6202033,14.3150406,4.4192986,51.4590836,36.5025406,2080.570068,-5.36444,5490,33.6962166,114.1455383,1226.073853,6868.624512,2
83.86235,28.59197,0.6340094,0.2758004,160.736084,425.3924255,6.4697542,3.5666583,14.3005238,4.4214277,51.476326,36.4415932,2071.370117,-5.5813999,5392,21.5804577,162.7185059,1020.15509,6733.179199,2
83.86954,28.59197,0.6361423,0.2769767,160.1899567,427.7102356,6.4643421,3.5146945,14.2877836,4.4235649,51.4942818,36.3800011,2059.159912,-10.1281996,5743,34.8720169,220.1147919,1226.073853,6695.446289,2
